Runyoro,English
reach out to,Runduka
"English, language",Rungereza
"anchor to steer, pilot",Rungika
"beak, bill",Runwa
tomato,Runyaanya
honey guide,Runyamarya
"large bird, peacock",Runyonyi
glowing embers,Runyota
drinking place for cattle,Runywero
"paper, page",Rupapura
"rupee, florin",Rupiya
small intestine,Rura
yam,Ruyuni
"expedition, campaign, pilgrimage",Ruramago
to rush together,Rurumuka
to be greedy,Rurunkana
"salivation, watering of mouth",Rurusu
side of house,Rusabazi
"bush, shrub",Rusaka
metal tray,Rusaniya
seven hundred,Rusanja
"cut, rank (soldiers)",Rusaro
"cheek, jaw",Rusaya
edible grasshopper,Rusenene
species of termite,Ruseizere
"pipe, tube",Ruseke
fetter of reeds,Rusengo
scrotum,Rusense
"sandy, plain, gravel",Rusenyi
measles,Ruseru
"wall, reed partition",Rusiika
brown bull,Rusiina
unripe ear of millet,Rusinsa
term,Rusoma
rain is drizzling,Rusondoigo
new moon,Rusooga
species of termite,Rusooro
"hill, mountain",Rusozi
odour of the body,Rusu
whistle,Rusurrzo
see kisungu,Rusungu
"crest, comb (of cock)",Rusunsu
skin,Rususu
wildcat,Rusuzi
dusk,Rusweko
vegetable,Ruswiga
"expedition,journey; see tabaara",Rutabaaro
white termtes,Rutaiki
nightjar(bird),Rutambaisiga
"Lamp wick, tape",Rutambi
species of flying termites,Rutenga
dark brown bull,Rutimba
bridge,Rutindo
a tall flowering grass,Rutumbwa
"tuft, crest",Rotunda
puddle pool,Rutunga
bird with long neck,Rutuuha
gooseberry,Rutuutu
handle of shield,Rutwango
ear of millet,Rutwe
to mix,Ruuba
ruler,Ruura
pearl,Ruuru
female kid or lamb,Ruusi
a spotted bull,Ruyenje
kind of song,Ruyumbu
pubic hair,Ruza
See: OruZAARO,Ruzaaro
locusts,Ruzige
early start on ajourney,Ruzinduko
"cripple, stunted person",Ruzingo
large winged ant,Rwabya
lanky person,Rwadoka
inferior salt,Rwa hyomere
inferior salt,Rwakaarraamire
God: the almighty,Rugaba
dark brown he-goat,Ruhinda
six hundred,Rukaaga num
the naked one,Rukidi
greater than all men,Rukirabasaija
long line of animals,Rukoroto
one thousand two hundred,Rukumi n'ebibiri
one thousand one hundred,Rukumi n'ekikumi
one thousand and one,Rukumi n'emu
one thousand: 1000,Rukumi
attacker of nations,Rumoma mahanga
when,Ryari
thorn apple,Rweziringa
a very big thing,Rweiguuga
rebel. See: OMUHEEKYERA,Rwebandira
See: ENJUBU,Rwanyamusanda
a serious cattle disease,Rwakipumpuru
See: KIBIKINDI,Rwakibikindi
God forbid,Rwaheeru
which one,Ruuha
one who perseveres,Rutaromba
a cautious person,Rutanyohoka
phr. a lazy person,Rutangirira-bagyenyi
a large burrowing beetle,Rutahikwa-mutozo
a molar tooth,Rutahikwa-mutoozo
See: RITAARI,Rutaari
See: KASHAMAITU,Rusamaitu
that over there,Ruriiya
See: MAHUMAHU,Ruraka
a habitual thief,Runkunku
one who gossips,Runcumite
a hornless bull,Rukungu
nasal bleeding,Rujwa-mireju
Adam's apple,Rujuga
a slow lazy person,Ruhondeeza
a grasshopper specie,Ruhima-rwa-ndongo
abuses which include curses,Ruhenure
famine,Ruhega
a male goat,Ruhaya
one who plays about,Ruharaatwa
finger millet specie,Ruhamireeka
an old monkey,Ruhaata
See: AKAHIMBA,Rugungu
a shiny person,Rucunya
a controversial figure,Rucumu
coffee specie,Rubosta
something very big,Rubarara
His magesty,Rubambansi
the other one,Riya
altar: a holy table,Ritaari
it's there,Rimu
it is there,Riho
then/so that,Reero
long,Raingwa
a part time job,Raijaraija
where?,Rahi
mountians of the moon,Ruwenzori
large spieces of locust,Rwakacaanya
disease of cattle,Rwakipumpuli
blood of dead animals,Rwamba
"to fight, struggle, contend",Rwana
house without partitions,Rwangaara
clear open space,Rwanganga
open space,Rwangaratete
to tight for,Rwaniirra
in public,Rwanjale
kind of dance,Rwanyamurabya
bull with white forehead,Rwasa
"crack, crevice",Rwatika
afternoon,Rwebagyo
third finger,Rwegati
familiarity,Rwemanyisirizo
Masindi Port,Rwempondo
four hundred,Rwenda
"repugnance, antipathy, disgust",Rwetamo
door,Rwigi
pipe cleaner,Rwiguzo
fee given to soothsayer,Rwinamo
wooden basin,Rwoho
burn,Rwokyo
wire,Rwoma
barren ground,Rwomere
silence,Rworo
"steam, breath, air, perspiration",Rwoya
"to cheat, defraud",Ryakura
irritate,Ryaryata
"to entice, persuade",Ryesaryesa
self-standing pron. for nouns,Ryo
"store, treasury, granary",Ryahuurro
ford,Ryambukiro
insolence;cheek,Ryana
airing-ground,Ryaniko
"canoe, boat",Ryato
"class, school",Ryegero
class,Ryegesezo
biding-place,Ryesereko
"washing-pl ace, bathroom",Ryogero
oven,Ryokezo
edible gourd,Ryozi
the scourge of nations,Rwitamahanga
mud,Saabu
to remain over,Saagiira
spread,Saagya
to clear jungle,Hunjya
", black jacl.enyabarasana",Saaka
"make ensaamo (barkcloth, mallets)",Saama
to patch old clothes,Saaniika
to be bitter,Saara
"to cut off, prune",Saarra
shirt,Saati
"to ask for, pray",Saba
target mark,Sabbaabo
soap,Sabbuuni
"to beg, pester, bother",Sabiriza
saucepan,Safuliya
to make rustle,Saganiza
"to support, steady",Sagika
"plate, dish",Sahaani
nothing as a reward,Sai
"barren cow,etc",Sajwa
thatch,Sakaara
to take off thatch,Sakambura
to come off (thatch),Sakurruuka
"to unthatch, strip",Sakuurra
to treat unjustly,Saruriza
o be cracked (skin),Salika
to bleed,Sama
to kick ooe another,Sambagana
"to root up, stubble",Sambura
"unravel,unpick",Sambuorra
"to become undone,unraveled",Sambuuruuka
"to sport, frolic,jest,joke",Sandaara
"to tease,joke with",Sandaaza
to cover,Sangiirra
to scatter,Sansara
solve string trick,Sanuurra
"hat, helmet",Sapeeho
rosary,Sapuli
to cut,Sara
"carve, engrave",Sarura
"to smash, bruise, crumble",Sasangura
"to repay, compensate",Sasura
three,Satu
to gnaw,Satura
barley,Sayiri
to be smashed up,Sebenguka
to become well off,Seeguruka
to collect firewood,Seenya
"float, hover",Seereera
to fall gently (rain),Seesega
drive (cattle) to pasture,Seetura
vulture,Sega
divining-rod,Segeeto
mash,Segenyuka
"to move away,push along",Segya
to act as midwife,Sehenya
to jest,Sekeerraana
"pond, crush",Sekura
calico (second quality),Semaaniini
"to uncover, undo,unwind",Sembuurra
to engage (a servant),Sengesa
"to strain, filter",Sengiija
"to smash, beat hard",Sengujura
migrate,Senguka
to take away captive,Sengura
to tear into strips,Sensebura
money,Sente
"wag (tongue), shuffie(feet)",Seraseza
to overcook,Serebeza
European drum,Serumbeeti
"to retch, feel sick",Sesemwa
"evil spirit, demon",Setaani
; to tether,Sibika
to untether,Sibuurra
beer three days old,Sibwa
to use for tying,Sibya
"to refuse, grudge",Sigaza
break a fast,Siiburuka
to entreat,Siigasiiga
to commit adultery,Siibana
to cause to fade,Siihura
to fry,Siika
"to be stubborn, obstinate",Siikooma
make walls or partitions,Siikura
"be rough (lake, sea)",Slikuuka
"to scorch, char, burn",Siiriiza
"to do wrong, sin;spoil",Siisa
extremely black,Siisiisi
to become spoiled,Siisikara
scarf,Sikaafu
hiccup,Sikina
"to shake about, waggle",Sikinyiza
to attack again. recur,Sikira
turkey,Sikoko
to be pulled forcibly,Sikuka
to pull forcibly,Sikura
to beckon,Sima
to leave with (pledge),Simbira
"push, send away",Sindika
to be uprooted,Sinduka
honour,Singa
to wear many necklaces,Singisa
to overcome,Singura
"to fail, be defeated",Singwa
to tum to Mohammedan,Siraamoka
slasher,Siraasa
"to rub hard, press",Siriita
to prevent,Sirika
to descend,Sirimuka
"to lower, bring down",Sirimura
"to liken to, compare",Sisaniza
"to scrape, cure (hides)",Sisiima
"to awake, recover consciousness",Sisiimuka
"to waken, rouse",Sisiimura
"round about, junction",Sitenseni
to break out (rash),Situka
cool,Siza
"to be wrong, defective",Soba
"to baffle, perplex",Sobera
(pf.soberaniize); = foreg,Soberaniza
"perplex, disappoint",Sobeza
"to be possible, manageable",Soboka
to enable,Sobozesa
sit down comfortably,Sodooka
"to urge on, incite",Sokasoka
socks,Sokisi
"to wrangle, henpeck",Somangana
to go in crowds,Sombooka
"to repair, thatch",Someekeerra
"to insert, slip in",Someka
"to teach, conduct service",Somesa
bear fruits (beans),Somoorra
to drink with accompanment,Somya
"to weaken, sap strength",Sondera
"to disturb,worry, bully",Sondokora
to chop up,Sonjoora
to creep away,Soobooka
to be insolent,Sookooma
with no horns (animal),Soomi
"to do slowly, persuade",Soonereza
to take away quietly,Soonoora
"to assemble, gather together",Soorrookana
to walk single file,Soronga
"to collect, gather together",Sorooza
to collect taxes,Soza
"to imitate, mimic",Subiiriza
"impoverish, degrade",Suka
sugar/sweet banana,Sukaali
to be angry,Sukirana
to knock out,Sukuma
"to be lonely, solitary",Sukumara
Christmas day,Sukuukuru
to have swollen cheeks,Sukuunira
to whistle,Suliza
herd cattle (for wages),Sumba
"to open, unlock, unie",Sumuurra
to pinch,Suna
to gaze at longingly,Sungamiriza
to toss,Sunsa
"to make ill, demoralize",Sununura
soup,Supu
pick axe,Suruuru
to peel off(eg skin.),Sosuuka
exile,Suugisa
"to uncover, revealed, open",Suukuka
"to uncover, expose, reveal",Suukura
"to dangle, hang, suspend",Suuleeba
uncover,Suurra
pass form. suuswa,Suusa
foetal dung(of animals.),Suusi
to be suspended,Suusuuba
your paternal aunt,Swenkati
marry,Swera
to marry,Swerana
marry (of two people),Swerangana
to be married,Swerwa
to cause to marry,Sweza
day of worship,Sabbiiti
Sunday,Sande
cement,Seminti
dark brown,Siina
"banana, red in color",Siira
Christmas,Sikuukururu
cinema,Sineema
shilling,Siringi
a pole placed across,Sirupande
a very black colour,Sirisiri
very black,Siriri
See: NOHIRI,Sikuukuru
very black,Siisi
refering to many,Soimwe
may be,Sinta
a banana specie,Semba obureku
may be or perhaps,Shana
See: KASHAMAITU,Samaitu
See: SENTURUMA,Senturumwa
See: NSEERI-MAYANJA,Seeri-mayanja
See: NSEERI,Seeri
sweet,Switi
tobacco,Taaba
"to tear inpieces, devour",Taagataagura
"be sulky, sullen",Taabirirwa
to have guests/visitors,Taahirwa
to tear,Taamura
five,Taano
"lantern, lamp",Taara
to fetch,Tabaarra
welcome,Tabaarukya
to mix together,Tabanganiza
"; to mix,join together",Tabika
to create a wrangle,Tabya
small kerosene lamp,Tadooba
"to be happy, carefree",Taga
"to be frolicsome, gay",Tagaija
"to beat, warm up",Tagasa
to go many times,Taiga
small,Taito
to be busy,Taliga
stride,Tambikiza
"drunkenness,intoxication",Tamiro
to vomit,Tanaka
inconvincible,Tananuka
to spread (e.g. cement),Tandaaza
"to stand astride,kneel withlegsapart",Tandama
"to forbid, stop, prevent",Tangs
to meet,Tangaana
to pick a quarrel,Tanukiira
to stagger,Tarantuka
to trip up,Taruka
to spy on,Tata
"hox, call without reason",Teba
"to inform, tell, preach",Tebeza
"converse, narrate, tell news",Tebya
"to guess, speculate",Teebeereza
be confinned (church rite),Teebwa
to gird(another),Teega
"to prepare, make ready",Teekaniza
to sharpen {knife),Teekera
"to think, consider, suppose",Teekereza
to beat one another,Teerangana
stir up urge,Teereerra
"to deny, oppose, contradict",Teerereza
lemon grass,Teete
to make an attempt,Tegeekaniza
to grow luxuriantly,Tegeijuka
to wait for expectantly,Tegereza
"to be level, straight",Teka
television,Televizoni
to tear to pieces,Tematemura
to accuse falsely,Tembeeka
"; to steady, balance",Tengeneka
to roll,Tenta
"level, smooth, straight,flat",Tereekeriire
"to be straight, flat,level",Tereekeerra
to make level,Tereekereza
"to lie, talk deceitfully",Terenganiza
very slippery,Teruteru
to give,Tetera
to tickle,Tigita
to grow tired of,Tiikuruka
"chop small, mince",Tiima
"to cheep, twitter",Tiitiira
"very small, wee",Tiitiiro
"to lend, borrow (notmoney)",Tiiza
to beat,Timbun
"to shake about, waddle",Tintima
to frighten,Tintimya
water(as potatoes.),Tira
"play, gamble, caper",Tiriiha
"speak irrationally, talk randomly",Toboka
to walk about naked,Togatoga
to speak incoberently,Togolekwa
"to crush, squash",Togonyora
to bubble (when boiling),Togota
till,Toija
to shout,Toka
to shout,Toko
bubble with beat,Tokomera
"to explain, tell all",Tondera
"split open (beans, peas)",Tondooka
to plead for another,Tonganiirra
"dive, down, descend",Tontera
"to gmmble, murmur",Tontorrooma
to drizzle,Toonyeerra
"to weed (bean, millet)",Toorra
"to be lewd, lascivious",Toorwa
still-born child or animal,Toroogo
stand erect,Torotoro
"to relapse, grow weak",Totatota
to protrude,Tugunduka
to be squashed,Tugunjuka
"to tread on, squash",Tugunya
"to defame, run down",Tuka
"to pester, importune",Tukiriza
sister to a chief,Tooro
only us,Twenka
all of us,Twena
those ones,Turiya
a certain plant specie,Tubura
birds sound/singing,Tsoi-tsoi
not so?,Tikwo
to be ready,Tayaari
parrot 's taH,Tuku
"to tremble, shiver",Tukuma
shiver particularly of fever,Tukumira
to be red,Tukura
to lie,Tulingika
"to send,send for",Tuma
cause to rise,Tumbisa
to keep on sending,Tumiriiza
to stretch(e.g. limbs),Tuna
to sell,Tunda
"tarpaulin, ground sheet",Tundubaale
";to protrude, stick out",Tunduka
to grow tall,Tunguka
to taste sour,Tungununa
"to shake, wooble",Tunguuta
to perspire,Tunguutana
to grow very fast,Tuntumuka
"to gaze at, behold",Tunuurra
to pass right through,Turuukana
to swell when soaked,Tutubara
"to be gluttonous, voracious",Tuuba
"to undo (beadwork), untie",Tuukuurra
to heap up,Tuumma
ascend (smoke),Tuumuuka
to infect,Tuurra
"sweat, perspiration",Tuutu
to sweat,Tuuya
to die,Tuuza
to conceive (by fornication),Twekwa
to brandish,Tyangya
"to cut, tear",Tyetyemura
indicates an affirmative response,Uuh
fork,Uma
relative,Waabu
moster,Waizikya
chwezi god for plenty,Wamara
accomplished,Wamara
thank you,Webare
your relative,Waanyu
"cotton plant, raw cotton",Waaro
beer four days old,Wadibu
viper,Wabimbiri
very large carrion-eating bird,Waiburu
"pangolin, scaly ant eater",Wakonga
the alphabet,Walifu
to bring to nothing,Warairaha
"wwell done, thank you",Weebale
you there,Weewe
that was the truth,Weza
"so, that is it",Wezaakwo
"colonialist, parish chief",Wiitwale
member of the clan,Wooruganda
undiluted banana juice,Wiidi
big and not shaped,Wandandara
a shrub,Wambuba
See: AKAME,Wakame
week,Wiiki
"to help, aid",Yamba
south wind,Yangoromora
Jesus,Yesu
clean,Yonjo
the Jewish Temple,Yekaru
grass,Yoojwa
to go all together,Yooka
to become loose,Yuga
to join together,Yunganiza
to play,Zaana
to have common percentage,Zaaranwa
psalm,Zabbuli
"to beat, flog",Zaitura
to be spoilt,Zamba
to stagger about,Zengazenga
"to be dizzy,giddy",Zengeerra
to shut (eyes),Zibiiriza
"regain sight, open (eyes)",Zibuurra
to bear the first-born,Zigaija
courtyard compound,Zigati
rub,Zigiisiirra
to be black,Zigi zigi
to swing around,Zigusura
"to put round, surround",Ziguza
to swim be deep,Ziha
;to bury,Ziika
to bury (beer),Ziikiira
"to dig up, exhume",Ziikura
leer at,Zisuura
"to sing, dance",Zina
"to untwist, unwind, unroll",Zinguurra
woe unto thee! curse,Zirikubona
"; to wind'eyes,sticks)",Ziringitiirra
throw(in wrestling),Ziringura
"to beat, flog",Zirwaitura
to enclose,Zitira
"to feel sick, retch",Zizambuka
"to make sick, nauseate",Zizimbura
a leather bag,Zibure-nkurye
these ones,Zinu
all of them,Zoona
amatu g 'embuzi,"The goat's ears. -ga, tense suffix put at the end of a verb stem to suggest the prolongation or duration of action e.g. Okukoraga, to do something habitually, or ((Ir a time. Llis usually used in the present, future and the past tenses. Emikago yatambiraga abantu, Blood brotherhood used to save people from trouble"
gaabatanuka,", greyish colored salt"
gaaju,Reddish brown.
ekitabu kye nkimugaruiiire; akaba ayangire,I have returned his/her book to him/ her; he/she had refused to return it but his/her father forced him/ her to return it
gaasa,To flatten dead meat.
gaaya,"To walk slowly and feebly, saunter, lose one's strength"
gaba,To come into breasts (milk)
tosobora kukama ente amabeere gatakagabire,You cannot milk a cow unless milk comes into its udder
gaba,"To contribute,give away,give in marriage,send army"
Omukama agabire ilte; ebintu bye abigabira abanaku,The king has sent out an army; He/she gives his/her belongings to the poor
gabaituka,To walk hurriedly and sorrowfully
akaba naagabaituka kugya kurora omwana we omunkomo; enaku nizo zaamugabaitukize,He/she was walking hurriedly and sorrowfully to go and see his/her child in prison; It is sorrow that made him/her walk hurriedly and sorrowfully
gabana,"To distribute among selves, share out, get shares"
ensimbi ezigabainwe nizihikya emitwaro makumi asafu,"At the end of each year, members of a cooperative society share their divides; The money that has been shared amounts to three hundred thousand shillings only"
gabisa,To have plenty of milk in the udder or breasts
-muhara we akamugabisa enyana,-he gave away his daughter with a heifer when she was getting married
gabuka,"(of a bride), to come to the house of a bride groom and get married"
Lidiya akagabukira Kampala,Lydia entered the home of her husband in Kampala
gabura,"To marry (of bride groom), receive a bride and marry"
ira omwojo yagabuurraga omunju ya ise,Long ago a boy got married in his father's house
gada,"To pine away, languish, suffer"
nkasiiba ningada izooba lyona,I suffered all the day long
gadlsa,To torment
omulemi mubi agadisa abantu be; haihi buli muntu agadisibwa it11ngo,A bad ruler torments his people; Nearly every one is bothered by possessions
gadya,"To trouble, worry, bother, afflict"
gagara,To decorate house for a wedding
gahiiraha,Crested eagle
gaigai,"Intensive with verbs of walking, talking (=fast)"
gaita,"To join together, add spell"
om11ntu ohangiriize obuakuronganisaakakusingaomugaita,If the person you have slandered pleads against you successfully you pay damages to him/her
gaituurra,"To spell letters or syllables, pronounce."
galihya,"To make wide, widen, broaden."
akasanga ebyoku/ya bye bigalikirwe hameeza,He found his food uncovered on the table and as a result he refused to eat it
gamba,Speak or say
Yesu akagambisa abafu b'eminwa; kikagambwa ira obu anvana tibaramura,Jesus made the dumb speak; It was said of him/ her long ago that when he/she begins to fight no one can stop him/her
gambiirra,"To exhort, warn,say something on behalf of someone."
baamugambiirraaga buli kintu kyona eki yagonzaaga kugamba,Someone would speak for him/her whenever be/ she wanted to say something
gambira,To tell or say something
"-gambira haiguru,",-cry aloud.
gambirana,"To tell one another, conspire against"
gambisibwa,Talk no sense
-omuhara nagambisibwa munonga,-the girl speaks a lot of no sense.
gana,To sing tales
-nyinenkuru nyowe natugana.,-my grandmother sings for us tales of long ego.
ganagana,"To grow large, to spread, branch freely, grow busby, spread out, bring forth (fruit, leave), increase in riches"
gandaara,"To rest after meals, take a siesta"
otalibona igandaire okagira itiinire,Never come out with the conclusion that they are afraid of each other when you see them preparing for a charge
ganga,"To spread, grow (e.g. Branches)"
