enkura	Rhinoceros
omuheesi aheesa n'omwojo ow'okumufutiraira omujuba; omujuba bagufugusa orulw orubohwa hankero yagwo	A black smith forges iron with a boy who blows the bellows for him; The bellow is pumped by pressing the skin tied on its nozzle
tereekeerra	To be straight, flat, level
embalira	To estimate, budget, calculate
omufumu abarwaire bakamutegerereza aheeru y 'ekisiika /eye; bakabiiltirwa tcgura temb kubategererezesa busa omuge11yi atarasoboirekwija; mukun1 w 'ihanga akategerezibwa abontu yaraganiize kubungira	The patients waited for the doctor from outside his consuJtation room; Theywere disappointed by having been made to wait for a visitor who never turned up; The head of state was awaited for by the people he had promised to visit
enkangaasi	Hoof
alifabeti	Alphabet
ebyara	Finger, toes
obutimba	Net, wire meshes
tondogoorra	T1:
tuuta	To swell, be distended
ensundi	Small red bird, wax-bill
ebibiriiti	Match boxes
tumasa orwezo omumusiri	We spread manure on the garden
emikonko	Sw.cereal: maize cobs
kubyama	Sleep
bbamuka/kugwamu	To come unexpectedly
abaana be babiri akabafiisiza Kyaka	She lost her two children in Kyaka.
buronde	Forced labour
talibana	To work alone and very hard, do ail the work oneself
ebisago	Pillow,cushions
endyaga	Plenty of food
erooro	Thin not fat
Ehemura	oneself
eraihiriza	To stand on tiptoe
emyenda ya'bunyoro	Praise, self-exaltation, boasting
ekitindinda	Snail, slug
bbaasi!	Enough
amakooti	Round shoulders
ekibindi	Clay or wooden bowl
bwcgombi	Covetousness
busa	For nothing
akagenda-kahiire	. A brownish grasshopper
nibagya klltuuta omusiri ogu baraabyaram11 ebitakuli	They are going to pile into earth moulds in the garden on which they will plant potato slips
ekitoijo	An offering to God
ebisusu	Peel, husk, fore skins
esokoora	To clean, pick out
jumbutura	To raise one unexpectedly
ekitabaraara	The guest of honour
ebijinja	Seasonal swamps
ebihoiga	Bit of grasses
bonesa	To hurt, punish
obuhoiho	Small moths
amaogero	Bathrooms
ebyano	Hollow infront of necks
ekinuuko	Stench: a smell bad
enyakibabi	A green coloured snake
tokomeza	-tokomiizci: pass of c.form, tokomevbwa, ku-,ok,,.
Ruhanga atutanga kuteekerereza busa bagenzi bairu ngu nubo bakozire ekintu ekibi nanka; ebiteekerezo eby 'obusinge biteekerezibwa Ruhanga	God forbids us to think unfoundedly bad acts about our neigbbbors; Thoughts of peace are thought by God
ebireju	Beards
ensusu	Flakes of skin
edebe	or Pail buckets
obu yasangireamazire irakutobeza enyungu yamuleka yahotoorra kimu	When she· found that she had already put millet in the boiling water, she let continue her with the cooking
nyweza	Tie tightly, tighten
bwatu	something Doing openly
cungura	To buy back, redeem
akakaikuru kamu	One million
doma	bestupid, silly, foolish
haiguru mubicuu	Up in the sky
wansazi	Fast asleep at night, sleep" "Beauty
ebijuma ebijunzire tibiriibwa; ebyenju bikajundira omuly ahuurro; obugoigo; ebihimba bye bijunziibwe kuteerwa enjura	Rotten fruits are not eaten; Ripe plantains got rotten in the store; Obumu babanza k:ubujunza nukwo babuhooga, some sisal must be made to rot before people get fibre from it; Her beans are rotten for having been rain soaked
ekihooya kye kibaire kyas1sana ekirukwoma; ira amaiz1 g'enjura bagatangiririzaga hkitooke rundi hamutoma; Busaho n 'omu ayamanyire ekyamutanuukiriize 11a mugenzi we	Baifll hati kitanukire buhyaka, his/her sore looked as if it was gettingdry, but it isnow septic. Tanukiirra ku-, oku-, v.tr; In the past ram water was tapped from a plantain or barkcloth tree; Nobody knows what caused the qurrel between him/her and his/her compamon
ensombabyoma	Silkworm
entuutu	Cape goose berries
nkahuurra abantu abarukutontoma aheeru; 11/cagonza kumanya kiki ekikaba nikibatontomya	I heard people murmuring outside; Iwanted to know what made them to munnur
eterega	To gambol, skip
Eoyuma	Behind
amaiba	Dove, pigeons
duuka	Shop
bbinika	Kettle
obusarre	Danger, difficulties
Edikya	To fall heavily
dakiika	Minute
ebidomora	Jerrycans
enyuma	Behind
jaika	To gad roam about, about
emanzi	A hero, brave person
obulebule	Careless talks
tuma	To send, send for
omuntu obu ataarra omubantu abatamumanyire tabatungiramu businge; enaku nizo itaza omuntu	When a person wanders about amongst people who do not know him/her, he/she gets no peace from them; It is need which makes people wander about
engombe	Hoot
enyuguta	of the alphabet
ebyoya	Hair
Bisuma	The Great Bear, Constellation
cencebura	To into tear pieces
ebitoijo	Offering to Gods
enterebuki	Shirker, dodger
ebiho	Haze, mist, fogs
emamba	Dawn, day break
binyoobwa	Ground outs
jumbukira	To fly out at, scold.
ebijwaroebimu bijunjubaza omuntu	Some clothing make someone look very big and fearsome
butika	dump down
embyamyamu	A reclining chair
bwenugi	Neglect of owcrcowcre
Byengonzi akateebera tiimu ye gooro ibiri	Byengonzi scored two goals for his team
Egemba	To shave oneself
abaira baikirizaaga ngu enjunJuuzi tejunjuurra busa	People of the past believed that a buzzing bee would never buzz in vain
omugusa	Sorghum
omusango gw 'okwonesa akagutonganira omwaka gwona; akamutonganiza habw 'okumwoneseza; binu biro emisango etongamva abatonganirizi	He/she spent the whole year pleading against a charge that his animals ate the crops of a neighbour; He/she made him/ plead her against charges that his/her animals ate bis/her crops; These days it is the advocates that against plead charges against put someone
embugo	Bark cloth
nyineeka aJemberiirwe nuwe ogu ow'omusaija mugenzi we aihireho mulcazi we	It is the bead of the house that is held with contempt that is deprived of his wife by another man
Ebengeka	To lean sideways
bundiika	To press down, squash
akalebulebu	Difficult times
amanogo	made Tunnels by termites
butembane	Inbreeding
ekisasaazi	Spark (of fire)
wansazi	Fast asleep at night, "Beauty sleep"
jaakaara	To spread (e.g. Epidemic, rumour)
ebikangi	Thorn of palm trees
akababagazi	Initial stage of flowering
ekirere	Gourd of milk
amakuute	Neighbouring countries)
ebikumu	Toe or fingers
kwepana	To dodge
amagufa gakamutunamira enaku	His/her protruded due to poverty. C. tunamya, ku-, oku-
eyiita	To commit suicide
bwesumikiri	Lumps
entaahi	Swallow
Encwangya	Tricky person, unreliable person
kubunga buli kaire	To be always visiting
Emigiza	To squeeze oneself against
ekufuru	Lock, padlock
amagesa	Reaping
ekitimatima	The last
bbogoya	Plantain
embumbe/ekyekulingirire	Round shaped
emihyo n 'amacumu baabiteekeerra hamahyoro; abantu abandi bateekeza muyamba	People sharpen knives and spears on wetstones; Some other people sharpen tools with a file
jogomba	To walk like an old person
ekiriisa	Fertility/ nutrition
ceke	Weak, feeble
tagaija	To be frolicsome, gay
bigondonka	Happenings, occurrences
Vi	Intensive okukwata with = hold finnly. e-, Viini, n., wine.
obusirimuko	: a steep slopes
amaranga	Type of lilies
-omuruganda rwabo tibateerana	-They do not agree with each other in their clan
bweganyirizi	Slackness, laziness
ange	Mine
tugesa hanyuma ya'mezi asaatu	We harvest sweet potatoes after three months
kubaho ayisomero	-you are supposed to turn at up school.
ebinaabiro	Bathrooms
obutunda	Small passion fruits
fa	To die, destroyed, be become useless
buganzi	Affection,favoritism
akamttjunaana habw 'okumutambukira ebyokulya	He/she blamed her/him for having strode across his/her food
entuumuuki	Blankshot
ekarwa	Type of grass
ekisusu	Peel, husk, fore skin
tabya	To create a wrangle
- akateerwa enkonge yatabaijuka yagwa,	- he/she stumbled upon a stone and then fell down
obuhya bwe butoize embogo; kinu ekipanga kitoozebwa muyamba	His pit has a buffalo fallen in it· pass of c.form, toozebwa, ku-, oku- (pi -tooziibwe); This big knife is sharpened by a file
bunyamibwa	Good looks
Ekumbya	To roll oneself
akasirimuko	: a steep slope
ekyemo	Physical stature
taama	To be careless, clumsy, stupid
Encu	Fish
byahi	Skin mats, child's bedding
kukaba kufaabbiina kw 'amani kwija kumara enju enu; Mugume akaba nafaabbiinisibwa enju ye obu yahoire yahuumura	It was real hard work finishing this house; It was the construction of his house that made Mugume work hard, he has come to rest after finishing it
bbaibbuli	Bible
bunuliirizi	Sweetness
agutamba	He who relieves distress
bikumi bisatu	Three hundred
embaata	Duck, goose
ebirimi	Flames of fires
Ena	All of me
Ebeteka	To down sit carelessly
tandagaraza	To out spread the legs
ebiyuni babigesa omukyanda	Yams are harvested in the dry season
baza	To talk
akakokomoko	:.a steep slopes
ebibbaali	Spirit shrine for twinses
bimira	Mucus of tbe nose
agiire kutanisa ebihimba bye; ente zigira akatale kaazo aka baitamsizaamu; oburunguru butanisibwa omukataale ka Hima	She has taken her beans to market; Cattle have their own market people where take them for Onions sale; are sold at Hima market
bbaama	To be bent, warped
amamera	Germinated plants
enyamahamba	Type of edible mushroom
bakaba nibazaana owanyina yamutonokya ekihooya yatandika kurra; akamutonokeza omukizaaniro nibazaana; atonokiibwe mugenziwe obu babaire nibazaana	They were playing when accidentally his/her brother caused pain his/her in sore and consequently she cried; caused pain He/she in his/her sore while they played; It is his/her brother/sister that caused pain in his/her sore while they played
bujonjo	Secretion of the eyes
ekitaatnutoole	Nonsense
buhoogozi	Extortion,rapine, plunder, fraud
junjubara	To spread, grow big (trees), look very big and fearsome, (tuuma)
ekika kyakatuzi	Type of mushroom
janguurra	To explain fully, put right what bad gone wrong
ebisarazi	Numbness, cramps
obujagarro	Commotions
ebisweko	Blisters
embegede emberra	Fish with snout virgin
candakaarra	To be exhausted
eyange	Mine
egomborra	Sub-county
toibya	To be on heat (female dogs)
burugaizooba	East
ebitoga	Something young or imatures
ekitwaro	A big storage basket
esimba	To surety become
ekigonzi	A wave
ekisoro embwa zikakitaagatagurazaakirya kyona	The dogs devoured the animal and ateitall
bumburu	Species of beer banana
oburwaire yarwaire nubwo	It was illness that made him grow old and wrinkled
tabura	To stir up, mix, miss, fail to hit, save, rescue
tyangya	-To brandish
ebisensero	Entrance: a posterior gates
enzizi	Wound
junjuura	To buzz
ekipampagara	Mud guard
amabega	Shoulders
butandikiro	Starting point
amatembero	Steps, or staircases
byona	All of them
ebinywabwino	Blotting papers
akasanga tumazire ira kulya n"emeza bagitandukurwire ira; akaba agenzire	He/ she found that we had already finished eating and the table had already been cleared up. Tangs. She had already gone, but her husband stopped her while on the way
ekigarukyamu	Answer
bachwezi	Demi-god, soldier
akahimba	Clitoris
Ekubirana	To take one's ease
enganja	White geranium
emicungiro	Dirt in the nail
ebirungi	:something good, or beautifuls
esonsogora	To plume feathers, preen
ensondokozi	Biting ant
obunyamurere	Flute: a musical instruments
tembya	To cause to raise, ascend, hoist
akatoonyezi	A dot, full stop
ebyeyo	Brooms
amaa1wa gatokolekaniza abarukuganywa	Banana wine makes people who are drinking it speak loudly and indistinctly
butika	To dump down
obwiririzi	Twilight,dusks
biyogoma	Flop down
ekigaali/enengere	A wheel barrow
tengeesa	shake, To tilt
ebyeyamura	Yawns
ekizizi	Swarm
byenga	Slag of iron, dross
emburabura	Foreigner, homeless person
amata marungi hali abana abato	Fresh milk is good for children
abaana baahanwaga okutajumbulizaaga omumaka g 'abandi	were advised not to make very early visits to other peoples homes
oburorwaho	Sign, symbols
oburumanfuuzi	Tiny flies biting
jubura	To pass through or rinse in clean water, and then take it out in order to dry.
tonganiirra	To plead for another
enjaza	Reedbuck
erora/kugezesa	To examine or
Empyo	Crocodile
binzaari	Orange colour
tabika	mix, To join together
akaisikondo	Hiccup
ebitengo	Very old cloths
bwigurumba	Bigness
amahunge	Northwest wind
empambo	Seeds of
nooha ayafaahonganisize abantu abo; ira kabataafahongaana? enju ye efaakaire kundi	Who have made those people care for each other, they never did so in the past; His house looks very untidy
orwezo ruhindura itaka	Manure improves soil quality
bwereere	A very young baby
bisaka	Herbal medicine
ekiisa-mutuutu	A big brown bird
bunaku	Poverty
ekiniga kikamutaamataamuza bakaba batiirwe bombi	Fury made her tear into pieces the photo they had taken together
bufaakatr	Widowhood
nooyetaaga omuheereza ow 'okukuteguruurraaga engoye zamve; genda oteguze mugenzi waawe ebintu baliiriireho	Do you need a servant responsible for putting your clothes in their proper place?; Go and help your brother put away the thingsthey have used at meal
obunyuunyambuzi	Yellow oxalises
byakeeri	Hair in the annat
amaizi gatuumibwa omuurro ogw'amaani; ebisus11 obu obinaga omukiikaro buli kiro bituuma	Water is made very hot when boiled by a strong fire. Tuum a, ku-, oku-, v.tr; When rubbish is poured in one place daily it heaps up
ebigogo	Banana fibres
Mukama akatutanga kutunturuurra ebintu by 'ensi	The Lord stopped us from being weary of things earthly
ekambi	Hard working
fungwa	- hold up clothes
bwimi	Meanness,stinginess
ekyokyezo	A burning place
jaguza	To rejoice, celebrate.
bukungu	Minor chieftainship
buceke	Weakness,feebleness
boboorra	Unfasten
Eoyini	Self, selves
ekijungutukya itaka nukwo kuba n 'orwezoorurungi	It is the manure in tbe soil that makes it moist and soft
ebimera	Growing plants
jeba	To be moist, sodden
amacande	Sesame
obu anywa amaanva; kira ebiro bisalu	Mukazi we araara amuta/ikire,, when he takes alcohol he his wife till morning; For meat to be quHe dry, it is grilled for three days
buda	To knead (cooked plantains)
funda	To be narrow, confined, cling to
amacwacwa	Cunning, craft, wisdom
juoga	To squeeze ju ice of (plantains, etc.)
butere	Fat tai
ceba	To pound, crush
bwesaganirizo	Rustling
ebyenda	Stomach,intestines
Enceke	Weakly person, invalid
ebikongoriro	Maize cobs
dai-dai	Very hard
ebibwegurra	Hairy stinging caterpillars
jejegurwa	To be talkative, gossip
esande	Banana juice
ebihano	Something very surprisings
tambuka	To across, step over
ekibunda	A dull rainy day
ebyonzira	Sacrifices
ebikaari	Reed fenced enclosures
empuruuturro	Sliding loop, noose, bow
Eba	To be forgotten
capura/kucwa	To chip, break off
busumiikiranizo	Fastening. Joint
Ekuma	To sit nicely
Endagalika	Odd fallen one, thing
buliro	Source of foodsupply, pasture
boona	All of them
obuleju	Chins
tukozesa enaijoro okugesa oburo	We use a sickle to harvest millet
kutagaija kw 'abaana kookuroorraaho k 'eko erumu okusemererwa; babairege nibatagaizira omuzigati y'owaabu	The frolicsomeness of children is a sign of happiness in a home; They were playing gaily in their compound
ebitiyo	Spades
erahiirra	To make a vow
omukozi yaleesire akamufookera kasaarre	The workman he/she employed became a problem to him/her.
enkenko	Vinegar
ebyokujwara	Garment, cloths
ebirungi	:something good, beautifuls
burukwera	Holiness
omuguwiraro ajanjaarra omubantu abamumanyire; omuntu aina obmwaire obukutuurra ayerinda kubujanjaaza omu bagenzi be	A person mad roams among people who know him/her; A person suffering from a contagious disease is always careful not to spread it to neighbours his/her
