muhogo	throat
ebihimba bye asangire babitongoiremu ebibaire byengere byona; Byakunaga akarwanisa Byenkya habw 'okutongora we; mukazi abaatongoire bye ebihimba bakabitongoorra omunjura eyasiibire neegwa	the parts he finds are covered with all kinds of walls; Byakunaga fights Tomorrow for his birth; the woman who cleansed his parts are covered with a sword that has fallen
tonokora	not to work
obu arubata ekihooya kye tonokya kitonokora; toooyeerra akatonokoorra omu111uhanda naagya omwirwarro	when touching something you don't want to touch; don't touch anything you don't want to touch; don't touch anything you don't want to touch; don't touch anything you don't want to touch; don't touch anything you don't want to touch; don't touch anything you don't want to touch; don't touch anything you don't want to touch; don't touch anything you don't want to touch; don't touch anything you don't want to touch; don't touch anything you don't want to touch; don't touch anything you don't want to touch
obu arubata ekihooya kye kitonokora; tonokya toooyeerra akatonokoorra omu111uhanda naagya omwirwarro	when he touches his tongue that does not work; do not touch his tongue and do not touch his tongue in the street when he is sick
bakaba nibazaana owanyina yamutonokya ekihooya yatandika kurra; akamutonokeza omukizaaniro nibazaana; atonokiibwe mugenziwe obu babaire nibazaana	they were a girl whose sister broke her neck and she started crying; she was a girl whose father was a boy; she was a girl whose father was a boy
tonta	to kill
omwana onu akatontera kutaliisibwa kunmgi; kwikara nooteera omwana ogu nikwija kumutonsa	the child is often not fed; sitting next to the child will make him sick
tontera	not often
tontera	not often
nkahuurra abantu abarukutontoma 11/cagonza kumanya kiki ekikaba nikibatontomya	I hear people singing 11/I wonder what's making them sing
tooliika	do not be afraid
akaikaarra omukiikaro ekirukutonywamu amaizi gobwiriza; ekisisi ekinimu akah11r11 kitonyesa amaizi; amaizi nigasobora kuba akahuru akataigaliirwege	a water dropper is a water dropper; a water slide is a water slide; the water can be unpredictably hot
kakuba oikaarra hansi y 'orugoye n1bisi orohanikire nirukutoonyeza amalZI; abapagasa eki babatoonyereza nukwo kugonza kumanya ebiro ebi baakozire n 'ebi bataakozire; abaana abarukusoma omugigi batonyezibwa buli kiro kya Sande	If you sit under a sheet of cloth and have a glass of water; the researchers want to know what they have done and what they have not done; schoolchildren are cleaned every Sunday night
anyakwigamire enjura obu aba naagenda hara tagidndiirra kutoonyoroka	he who walks in the rain will not run away
haroho engoye ezanguha kutoonyorrooka obu ziba zijubire n 'ezitanguha; orugoye onijubire rutoonyorrookera hamuguha rohanikire	They wear clothes that do not wear out when worn or otherwise damaged. They wear clothes that do not wear out when worn or otherwise damaged.
obuhya bwe butoize embogo; kinu kitoozebwa muyamba	If you don't know how to spell, this will help you.
Sande nayo etooza abantu baingi; abantu batoozibwa muno ekiro kyamazaarwa kukira ebiro ebindi	Sunday is also busy; people are busy here at night more than at other times
toorana	to marry
tooza	do not try
enimi obu etemba ente e/.:11/ize; eme ze niitoroogebwa ibura ly 'ekisura	the tongue when the cow e/.:11/ize; the mouth will be cleaned by the skin of the face
toroogereza	do not talk too much
omwisiki anyakutoroogerezi ibwe obu atwara enda olmzaara kwe kutuntuza abazaire be	a miscarriage is a tragedy for her parents
akaburwa ensaa110 y'okubutotoroza	110 hours of cleaning
tw 'embeba batwisire	we're going to die
obwenju bwa sukaali babut11gira omubuhunga bwa muhogo nukwo battmgemu ekibumbe ky kabaragara	the sugar content is calculated from the nasal mucus and then the sugar content is calculated from the nasal mucus
atugika omutongi omunyaibanja ou arukwerengeerra	a debt collector who defends you
omutongi atugika omunyaibanja ou arukwerengeerra	a judge who forgives a debtor who defends you
abaana baahaburwaga kutatug11likwa hagati y 'abantu bakum; akatugulikinva omumaiso g 'abagenyi baamufubira	children were left unattended among the people of the village; the young man's eyes were closed by the guests
ebyenju akaba aba/eetiire bikatugunjukira omunsahu	the house he/she/it is staying in
busaho muntu anyakugonza kutugunjuurra ekintu omungaro ze	a person who is willing to open his or her eyes
embwa bakagitukira busa ngu ebwagwire obwana mukaaga kamu yaka/ya	a dog that is only 6 years old
akatukumira kurora abasen1kale muka ye; emundu niyo etukumya omuntu; akamara ebirobibirinaatukumira	he tells us to see his wife; the gun is our weapon; he tells us to shoot
akatukumira kurora abasen1kale baizire muka ye; emundu niyo etukumya omuntu; akamara ebirobibirinaatukumira	he tells us to see the old man come to his wife; the gun is the one that makes a man sick; he tells us to get rid of the germs
akaba naatwana; om11guha gw 'obugoigo	he/she/it was fighting he/she/it was fighting he/she/it was fighting he/she/it was fighting he/she/it was fighting
tuma	to send
mukama w 'amaju akatumira abapangisa be omutabani bam11he sente ze ez 'obusuuru; omusuubuzi atwnisize egaali ikumi; ebihimba obu babita omumaizi bitumba; t. ebigambo	The owner of the vineyard sends his son to his tenants to give him ten talents; the merchant earns ten talents; the tenants call the tenants tenants; t. words
tumbika	to establish
obu haizire ibura ly 'emikubi abantu batwnbikaga ebitooke hakisura nmdi ha kaamurali enyakuseeriilwemu ekisura	When the rains came, people would dress me in black, and I would look in a mirror with my face covered
abasibensi kukora n 'amaani nikyo kitumbuza ekyaro /.y. abo	The people who work hard are the ones who make the village grow
obubaire nibusisa nk 'oburaasiriira hati butumburukire	the sun is shining like a rainbow
tumya	to send
tuna	tuna
tunama	we bow down
amagufa gakamutunamira enaku	his bones are crushed with grief
amagufa gakamutunamira enaku	his bones are crushed with grief
omutabani nuweyamutundiire embuzi ye; omusoro nugwo gwamutundize embuzi ye	the son sold his goat; the tax he sold his goat
tundubika	seemingly
tungamira	lead
tungeera tunika akamusanga amutungamiire naamuniga yamuteera 11'omwigo; ente etungamiirwe entale ogijunira entale etakainamire kugiruma	wearing a tunic when we find him wearing a tunic we put him on a leash; the cow wears a tunic when we see him wearing a tunic when we see him wearing a tunic we put him on a leash we put him on a leash we put him on a leash we put him on a leash we put him on a leash we put him on a leash we put him on a leash we put him on a leash we put him on a leash we put him on a leash we put him on a leash we put him on a leash we put him on a leash we put him on a leash we put him on a leash we put him on a leash we put him on a leash we put him on a leash
tikiri kirungi amaizi kutungeerra n 'eka; ezigati eteeculikire etungeeza amaizi	It is no longer good for water to run off at home; uncooked bread cleanses the water
abaleesi b'amaizi ira baayetwekaga ensoha bazitungukiirraho ekintu ki11di	ireland's fishermen used to carry elephants with them
ebyokulya ebirukucumbwa obu obona byatungira; nuweyamuhmgiire omulimo	food to satisfy your appetite; give him a job
abasaija baat1mguruurra bakazi enfuka baabo	husbands open their wives' wombs
tungurruuka	run away
tunguurra	weighing
oburo butungmwire abaana kubulinda enyonyi; akamweta kumutungurourra enkwanzi ze	a bird calls out to the children to watch the birds; he calls out to his friends to guide him
oburo butungmwire abaana batandike kubulinda enyonyi; akamweta kumutungurourra enkwanzi ze	When the time is right, the children will begin to watch the bird; he calls out to his friends to guide him
obu babutikira omuntu antkutukumira ebyokwesweka bingi atunguutana	a person who hides a lot of things from me
akahuniirra kusanga emiti yabyaire omu mwaka gumu guti	a tree that grows in the same year
Mukama akatutanga kutunturuurra ebintu by 'ensi	The Lord warns us against the things of the world
Mukama akatutanga kutunturuurra ebintu by	The Lord commands us to look after his own
bakabasoboorra bazaire baabo ekyabatunuliize akanyonyi akembaganiza	they're crying out to their parents why did they look at the bird
tura	weeping
tura	weeping
tura	weeping
orufu orw'omusaija ebiro bbina kandi orw 'omukazibisatu; anywire omubazi ogurukutun1kya; mulllrukye omulumbi; omutamiizi natalibaniza abanlu; orufu rwe n1latun1kwe habwabandi abarwaire abakaba bali omuka	death of a man for four days and a woman for three days; drinking a heavy poison; drinking poison; a drunkard does not interfere with others; his death is caused by other sick people
asisikaire enda aturukya orwoya rubi; akanga kuruga omwofiisi ye yayeta poliisi yamuturukya	he has a bad nose; he refuses to leave the office he called the police and they took him away
turuotuka	it does not
torukwikirizibwa kuturuukiriza omutwe gwawe omwidirisa /ya motoka	you are not allowed to lift your head to the car window
tutumbuka	flowering
tutumbuka	flowering
tuukuurra	we hear
amaizi gatuumibwa omuurro ogw'amaani; ebisus11 obu obinaga omukiikaro kimu buli kiro bituuma	the water is heated by a powerful fire; the water is heated by a single splash of water every night
amaizi gatuumibwa omuurro ogw'amaani; ebisus11 obu obinaga omukiikaro buli kiro bituuma	The water is heated by a powerful fire; the water is heated every night
atwire hanu kumara obusumi bwingi baitu titukahuurraaga ngu aibire; ekyamutwize hakyaro kyabo nukwo kutaiba bantu	He has been here for a long time and we have not heard that he is here; the reason he has come to our village is that there are no people
tuura	to sit
atarukusobora kwimuka kutuura omugenyi we; akasaba omuntu ondi aije amutuuze ekigega babagemuliire	who is unable to get up to accommodate his guest; he asks someone else to come and sit him down
ebyenju muno ebyengere bitunaa amaarwa	the rocks here, the rocks here, the rocks here, the rocks here, the rocks here, the rocks here, the rocks here, the rocks here, the rocks here, the rocks here, the rocks here, the rocks here, the rocks here, the rocks here, the rocks here, the rocks here, the rocks here, the rocks here, the rocks here, the rocks here, the rocks here, the rocks here, the rocks here, the rocks here, the rocks here, the rocks here, the rocks here, the rocks here, the rocks here, the rocks here, the rocks here, the rocks here, the rocks here, the rocks here, the rocks here, the rocks here, the rocks here
omuntu obu ahikaho embwa erukunena igufa; obu ohuurra embwa neetuurruuma	When a dog barks, a person dies; when a dog barks, a person dies
omuntu obu ahikaho embwa erukunena igufa; obu ohuurra embwa neetuurruuma	When a dog barks, a person dies; when a dog barks, a person dies
nibagya klltuuta omusiri ogu baraabyaram11 ebitakuli	they're going to eat more than this mosquito they're going to eat more than this mosquito
omusana gutuuyisa omuntu obu agukoorraamu emirimo	light illuminates a person when he performs activities
omusana gutuuyisa omuntu obu agukoorraamu emirimo	light illuminates a person when he performs activities
tuuza	ask questions
Omukama obu atuuza omuguta gwe gwnara ebiro mwenda gutakatabaaziibwe; Omukama Kaabaleega akatuuliza Jinja naan1ga omukuzaahisibwa	When the Lord rested his palace was not lit for nine days; the Lord left them and rested Jinja and the holy city
Omukama obu atuuza omuguta gwe gwnara mwenda ebiro gutakatabaaziibwe; Omukama Kaabaleega akatuuliza Jinja naan1ga omukuzaahisibwa	When the Lord sends his angel nine days without light; the Lord sends the angel Jinja
ornubingi w'amotoka kutwalirirwa naabinga ky'akabi muno; akatwa/iririrwa ahingwire Kyegegwa	the number of vehicles being driven is more dangerous here; he/she needs to get out of the car
ornubingi w'amotoka kutwalirirwa naabinga ky'akabi muno; ahingwire akatwa/iririrwa Kyegegwa	the number of vehicles to be driven is more dangerous here;
twaliriza	weeping
ornubazi akagunywa mpora natwaliriza yalindwa yagumaramu; orobazo rokamutwaliriza yahinguza esaaha z 'okugamka omuka	a man who drinks whenever he goes to bed is kept awake; a woman who takes him to bed makes it time to get up
ornubazi akagunywa mpora natwaliriza yagumaramu; orobazo rwe rokamutwaliriza yahinguza esaaha z 'okugamka omuka	a drunkard who drinks whenever he goes to bed; a drunkard who drinks whenever he goes to bed; a drunkard who drinks whenever he goes to bed; a drunkard who drinks whenever he goes to bed; a drunkard who drinks whenever he goes to bed; a drunkard who drinks whenever he goes to bed; a drunkard who drinks whenever he goes to bed; a drunkard who drinks whenever he goes to bed; a drunkard who drinks whenever he goes to bed; a drunkard who drinks whenever he goes to bed; a drunkard who drinks whenever he goes to bed; a drunkard who drinks whenever he goes to bed; a drunkard who drinks whenever he goes to bed; a drunkard who drinks whenever he goes to bed; a drunkard who drinks whenever he drinks whenever he drinks
